episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-668.0,200
0,1,eval_idx01,-803.0,200
0,1,eval_idx02,-731.0,200
0,1,eval_idx03,-821.0,200
0,1,eval_idx04,-812.0,200
0,1,eval_idx05,-929.0,200
0,1,eval_idx06,-731.0,200
0,1,eval_idx07,-794.0,200
0,1,eval_idx08,-758.0,200
0,1,eval_idx09,-794.0,200
0,1,eval_idx10,-875.0,200
0,1,eval_idx11,-848.0,200
0,1,eval_idx12,-135.0,48
0,1,eval_idx13,-866.0,200
0,1,eval_idx14,-519.0,162
0,1,eval_idx15,-713.0,200
0,1,eval_idx16,-812.0,200
0,1,eval_idx17,-749.0,200
0,1,eval_idx18,-812.0,200
0,1,eval_idx19,-668.0,200
0,1,eval_idx20,-929.0,200
0,1,eval_idx21,-740.0,200
0,1,eval_idx22,-650.0,200
0,1,eval_idx23,-767.0,200
0,1,eval_idx24,-749.0,200
0,1,eval_idx25,-803.0,200
0,1,eval_idx26,-722.0,200
0,1,eval_idx27,-749.0,200
0,1,eval_idx28,-929.0,200
0,1,eval_idx29,-776.0,200
1714,60000,eval_idx00,-10.0,13
1714,60000,eval_idx01,13.0,8
1714,60000,eval_idx02,-4.0,16
1714,60000,eval_idx03,1.0,20
1714,60000,eval_idx04,5.0,16
1714,60000,eval_idx05,-14.0,26
1714,60000,eval_idx06,3.0,18
1714,60000,eval_idx07,10.0,11
1714,60000,eval_idx08,4.0,17
1714,60000,eval_idx09,5.0,16
1714,60000,eval_idx10,13.0,8
1714,60000,eval_idx11,4.0,17
1714,60000,eval_idx12,0.0,12
1714,60000,eval_idx13,5.0,16
1714,60000,eval_idx14,2.0,19
1714,60000,eval_idx15,-8.0,20
1714,60000,eval_idx16,-12.0,24
1714,60000,eval_idx17,12.0,9
1714,60000,eval_idx18,-11.0,23
1714,60000,eval_idx19,5.0,16
1714,60000,eval_idx20,1.0,20
1714,60000,eval_idx21,2.0,19
1714,60000,eval_idx22,3.0,18
1714,60000,eval_idx23,0.0,12
1714,60000,eval_idx24,5.0,16
1714,60000,eval_idx25,11.0,10
1714,60000,eval_idx26,5.0,16
1714,60000,eval_idx27,-5.0,17
1714,60000,eval_idx28,4.0,17
1714,60000,eval_idx29,5.0,16
